,1. open,gross profit margin,operating profit margin,net profit margin,return on assets,return on equity,current ratio,debt-to-equity ratio,debt-to-assets ratio,interest coverage ratio,asset turnover ratio,inventory turnover ratio,eps,pe,pb
1. open,1.0,-0.12418375559046628,0.22218594585317025,0.015316202113943167,0.010967358651712177,-0.37074783840046543,0.3745578817633374,-0.4763020317667442,-0.60497320795777,0.4418676923056007,0.02691208590437615,0.551107157294894,0.8068100761752159,0.13117543114657132,-0.22511893155498075
gross profit margin,-0.12418375559046628,1.0,0.6568664079605122,0.8065873303792103,0.7137270412568567,0.6718935375944775,-0.3190913112540901,0.4862012455308527,0.30449632049105546,-0.13262388778563902,0.6016560186394572,0.1215130878870426,-0.10357517204911733,0.07608036885715615,0.5472590037373974
operating profit margin,0.22218594585317025,0.6568664079605122,1.0,0.8451866639038738,0.8131696766954887,0.280555968648936,-0.021684597134204817,-0.10424967780520907,-0.27677943801477556,0.29863456050119225,0.7415602196003461,0.6769909965771579,0.44567577420520577,-0.27202920218182775,0.00764674092024828
net profit margin,0.015316202113943167,0.8065873303792103,0.8451866639038738,1.0,0.8980315915006224,0.651260065694175,-0.32591625979181593,0.34832432746776426,0.19228274380644333,0.016773854602276404,0.7740701074321267,0.3071370308469332,0.17444412441889132,-0.1458490821473876,0.35137004879150885
return on assets,0.010967358651712177,0.7137270412568567,0.8131696766954887,0.8980315915006224,1.0,0.6765660084193703,-0.14578055362326578,0.31728353457162617,0.11617403041964576,0.14955727003391459,0.9690402517007052,0.3565003815726484,0.19540661373443086,-0.15758407313587947,0.35895819385611055
return on equity,-0.37074783840046543,0.6718935375944775,0.280555968648936,0.651260065694175,0.6765660084193703,1.0,-0.5868442580821434,0.8942586712148308,0.758536864138254,-0.2976665062869205,0.6149421646068802,-0.28311971590711316,-0.3953682916432221,0.15893069580638086,0.7963989162624847
current ratio,0.3745578817633374,-0.3190913112540901,-0.021684597134204817,-0.32591625979181593,-0.14578055362326578,-0.5868442580821434,1.0,-0.6746510458284515,-0.7482252707557183,0.3585079910787015,-0.013520801028689564,0.30049834612859244,0.3917890403973846,-0.16931386536227888,-0.519920586683145
debt-to-equity ratio,-0.4763020317667442,0.4862012455308527,-0.10424967780520907,0.34832432746776426,0.31728353457162617,0.8942586712148308,-0.6746510458284515,1.0,0.9359140576387216,-0.49649482408734347,0.257462472954393,-0.5569240391366937,-0.5915517351913673,0.31851657144050904,0.8573149933075539
debt-to-assets ratio,-0.60497320795777,0.30449632049105546,-0.27677943801477556,0.19228274380644333,0.11617403041964576,0.758536864138254,-0.7482252707557183,0.9359140576387216,1.0,-0.5961131844542552,0.03931323352764819,-0.6829696916529377,-0.6928655480065474,0.2913919875197304,0.7267988599099864
interest coverage ratio,0.4418676923056007,-0.13262388778563902,0.29863456050119225,0.016773854602276404,0.14955727003391459,-0.2976665062869205,0.3585079910787015,-0.49649482408734347,-0.5961131844542552,1.0,0.23351294680164525,0.4539265609477402,0.5054173644876017,-0.16197655925325422,-0.32183233411839623
asset turnover ratio,0.02691208590437615,0.6016560186394572,0.7415602196003461,0.7740701074321267,0.9690402517007052,0.6149421646068802,-0.013520801028689564,0.257462472954393,0.03931323352764819,0.23351294680164525,1.0,0.3644596862620499,0.20467212666261428,-0.15758228727355736,0.3248758329178902
inventory turnover ratio,0.551107157294894,0.1215130878870426,0.6769909965771579,0.3071370308469332,0.3565003815726484,-0.28311971590711316,0.30049834612859244,-0.5569240391366937,-0.6829696916529377,0.4539265609477402,0.3644596862620499,1.0,0.6860908947251736,-0.2645625228005309,-0.3828954217296974
eps,0.8068100761752159,-0.10357517204911733,0.44567577420520577,0.17444412441889132,0.19540661373443086,-0.3953682916432221,0.3917890403973846,-0.5915517351913673,-0.6928655480065474,0.5054173644876017,0.20467212666261428,0.6860908947251736,1.0,-0.3639017732459072,-0.4813135633712138
pe,0.13117543114657132,0.07608036885715615,-0.27202920218182775,-0.1458490821473876,-0.15758407313587947,0.15893069580638086,-0.16931386536227888,0.31851657144050904,0.2913919875197304,-0.16197655925325422,-0.15758228727355736,-0.2645625228005309,-0.3639017732459072,1.0,0.6460848260503129
pb,-0.22511893155498075,0.5472590037373974,0.00764674092024828,0.35137004879150885,0.35895819385611055,0.7963989162624847,-0.519920586683145,0.8573149933075539,0.7267988599099864,-0.32183233411839623,0.3248758329178902,-0.3828954217296974,-0.4813135633712138,0.6460848260503129,1.0
